page_id;cargo_real
11573;laboratorio
28092;paramedico
37141;administrativo
38980;auxiliar
8862;administrativo
27853;jefe
5217;coordinador
42871;administracion publica
10944;asistente dental
44008;psicologo
14389;coordinador
5832;analista
8247;practica
27276;paramedico
10361;gestor
42254;tecnica
14619;administracion empresa
44598;coordinador
35665;tecnico
5787;enfermera
7533;supervisor
28502;tecnico en
33439;enfermero
19649;tecnico
38635;tecnologo medico
25552;asistente
12445;tecnico
40570;enfermeria
6321;administrativo
29310;administracion
24965;paramedico
4195;analista
34077;instructor
13872;tecnico
41947;secretaria
24340;arma
39027;auxiliar
6904;profesor
29935;psiquiatra
41362;gestion
13257;arquitecto
796;instructor
4499;fiscalizacion
22410;analista
15507;tecnico
32727;administrador
30593;auxiliar
18557;tecnico
23202;organizacion
1846;laboratorio
19960;administrativo
44094;organizacion
14315;instructor
35369;mantencion
31381;educador
1263;administracion
23827;psicologo
33135;analista
14930;coordinador
38339;administrativo
12149;asistente
18790;departamento
30754;educador
2402;departamento
11728;enfermeria
17574;auxiliar
20463;apoyo
36508;medico
25299;paramedico
3210;procurador
21854;kinesiologo
31146;analista
44253;administracion
16366;gestor
21271;disenador
3835;enfermera
10436;ingeniero
12682;agricola
42503;terapeuta
25795;jefe departamento
27521;tecnico
8510;administrativo
37616;odontologia
5540;asistente
551;tecnico
30258;administracion
13090;educador
11224;asistente
26333;gestion
9302;enfermero
24187;enfermera
34895;enfermera
4977;departamento
17078;encargado
11801;operario
43934;administracion
4352;administrativo
26916;auxiliar
9927;tecnico
36004;secretaria
32457;enfermeria
18627;encargado
26788;tecnico
22760;psicologo
15677;jefe
37888;recepcionista
38049;conductor
12239;laboratorio
1113;arbitro
33245;tecnico en
35019;tecnico en
40929;analista
3982;enfermera
33860;gestion
23172;tecnico en
27496;gestion
25622;abastecimiento
10581;organizacion
40600;director
33749;nutricionista
19539;auxiliar
35515;psicologo
7643;disenador
28672;departamento
14569;tecnico en
22849;periodista
34922;instructor
24030;tecnico
26284;conductor
39357;departamento
41012;auxiliar
11393;tecnico
13127;analista
6051;enfermera
29060;alimento
9890;periodista
39972;enfermero
34307;practica
43883;gestion
37566;departamento
5630;ingeniero civil
10746;enfermera
42673;oncologo
27651;climatizacion
8660;enfermera
38782;practica
4022;enfermero
6296;asistente
36374;coordinador
17308;educador
43061;secretaria
11154;instructor
29882;enfermera
36951;administrativo
26043;fiscalizador
9072;administrador
621;auditor
30128;tecnico
36678;bibliotecario
17604;profesional
908;clientes
20713;auxiliar
11458;coordinador
30424;jardin
2772;profesional
32690;laboratorio
44123;psiquiatra
16016;administrativo
31813;administrativo
7188;encargado
27978;alimento
8949;tecnico en
14887;auxiliar
33082;gestion
3160;odontologia
23990;jefe departamento
31236;auxiliar
5919;auxiliar
18065;educador
32215;laboratorio
39019;administracion publica
17281;analista
15035;periodista
32830;analista
22122;profesional
41979;ecologia
34049;prevencionista
19677;departamento
33407;tecnico en
1751;instructor
14627;auxiliar
16493;operador
21584;nutricionista
23730;pediatra
40042;terapeuta
12177;gestion
35972;analista
5890;coordinador
25060;tecnico en
38307;enfermera
23819;profesional
28030;jefe departamento
7001;paramedico
38922;jefe
35357;instructor
1878;auditor
21088;administrativo
18569;supervisor
32719;gestor
13765;practica
41650;administrativo
39515;informacion
24672;analista
15539;ingeniero
881;profesional
34545;gestion
6613;gestion
16358;administrativo
5072;medicos
35190;abogado
25882;coordinador
37324;jefe
12995;analista
37901;gestor
8022;psicologo
27013;auxiliar
42031;conductor
10104;auxiliar
40285;educador
36536;auxiliar
34782;gestor
4660;administrativo
9630;organizacion
26601;analista
41497;administracion publica
11716;coordinador
43623;tecnico en
9919;alimento
26928;tecnico
20151;recursos humanos
18887;educador
17046;jefe
4949;practica
30266;auxiliar
21743;tecnologo medico
16654;administracion
37628;comercial
1596;instructor
31474;enfermeria
3722;departamento
40789;informatico
10408;analista
12822;jefe departamento
40917;tecnico en
28340;conductor
37293;paramedico
25935;enfermero
35027;enfermera
3399;personal
40332;director
42186;departamento
25310;farmaceutico
8195;profesional
28965;enfermeria
7954;instructor
34635;auxiliar
36481;administracion
29552;terapeuta
6563;tecnico en
15649;analista
43794;medicos
13415;enfermeria
41520;tecnico
9787;conductor
39665;desarrollador
24502;enfermeria
18619;cirujano
32469;tecnico en
11988;personal
34339;paramedico
18930;profesional
15345;profesional
22252;gestor
13119;psicologo
43298;informacion
39369;comunicacion
15960;medico
18315;tecnico
22877;paramedico
32165;administrativo
2087;tecnico
14557;asesor
23440;terapeuta
19507;cardiologo
3695;informatico
33777;medico
1421;jefe
8499;educador
2240;auditor
20804;educador
30116;gestion
17913;abogado
20221;enfermero
22095;enfermero
2865;procurador
32987;obra
15182;analista
17336;profesional
29299;jefe departamento
10778;administrativo
31704;departamento
3452;jefe departamento
37558;profesional
23687;administrativo
21433;paramedico
16524;enfermero
14790;departamento
8352;profesional
27363;apoyo
5927;encargado
42341;practica
10274;administrativo
31208;recaudador
5302;director
8977;conductor
27946;conductor
38895;departamento
37054;administrativo
28187;administracion publica
10851;auxiliar
42964;enfermero
16028;secretaria
313;pediatra
9540;director
26571;departamento
43553;bienestar
22599;asesor
936;instructor
29795;odontologo
36646;administrativo
4510;fiscalizacion
6811;administrativo
29820;paramedico
39132;abastecimiento
24255;instructor
13342;psicologo
41277;medicos
683;ingeniero
34162;ingeniero civil
4080;instructor
24870;agente publico
6234;auxiliar
29205;practica
41852;auxiliar
13967;kinesiologo
31798;cirujano
25447;jefe departamento
38720;compras
12550;enfermero
7426;tecnologo medico
28417;asesor
5692;operador
35770;departamento
33020;administrativo
23932;profesional
1376;informacion
31294;planta
19250;profesional
35859;tecnico
40169;tecnico en
1953;comunicacion
23317;operador
19875;laboratorio
38809;practica
24759;auxiliar
30486;departamento
32632;ingeniero
18442;tecnico
6738;tecnico
29709;administrativo
22505;tecnico
15412;kinesiologo
5159;disenador
16273;coordinador
3920;asistente
21364;departamento
27138;director hospital
8109;conductor
19097;fiscalizacion
16856;departamento
31053;abogado
21941;jefe
3305;educador
17461;analista
18685;administrativo
148;analista
2517;enfermero
30641;enfermero
43708;profesional
13489;psicologo
30968;departamento
11914;analista
36111;asesor
26803;secretario
9832;informacion
4247;tecnico
444;coordinador
18389;departamento
11331;analista informatico
13185;conductor
43204;pediatra
4862;organizacion
34980;computacion
24092;educador
26226;auxiliar
9217;auditor
5455;analista
37703;practica
21668;ingeniero
42416;coordinador
12797;paramedico
27434;adquisiciones
8405;enfermeria
12909;encargado
23067;organizacion
33975;psiquiatra
3897;jefe departamento
14170;educador
10198;gestion
40219;auxiliar
33350;contabilidad
1006;instructor
19120;practica
22675;encargado
15762;ingeniero
6448;tecnico en
29479;administracion publica
32542;medico
18732;director
24429;operador
22379;enfermera
34212;practica
39867;paramedico
9985;medico
6144;informacion
29175;paramedico
43996;administrativo
39242;medico
26391;coordinador
24125;profesional
34837;kinesiologo
13032;tecnico
11286;psicologa
41107;medica
7756;terapeuta
28767;tecnico
25737;gestion
27583;tecnico
38450;jefe
40715;enfermera
10494;analista
12620;profesional
11041;conductor
43174;secretaria
26156;fiscalizador
9167;departamento
39085;tecnico
36844;analista
29997;administrativo
734;gestion
17838;coordinador
32289;parvul
36261;supervisor
6383;medico
4137;junior
3579;departamento
10653;auxiliar
27744;analista
8775;laboratorio
21518;tecnico
5725;director hospital
7591;profesional
14992;medico
31323;abogado
23885;enfermera
3075;tecnico
33197;trabajadora social 
27248;profesional
8279;departamento
16103;departamento
44036;mecanica
21014;informacion
31906;operador
5229;analista
43478;administrativo
39589;comunicacion
238;abogado
32785;analista
2667;administrativo
30531;tecnologo medico
17711;supervisora
20606;profesional
9218;auditor
26229;quimico farmaceutico
30342;conductor
2014;operador
4248;educador
17162;tecnico
30967;contabilidad
20075;coordinador
19594;medicos
31550;profesional
42419;coordinador
12798;asistente
44645;secretaria
16770;educador
21667;administrativo
19098;cirujano
16859;jefe departamento
10020;bienestar
12294;paramedico
42115;administracion
25383;arquitecto
37825;educador
8106;profesional
27137;medico
44349;departamento
40984;auxiliar
37200;organizacion
5156;reclutamiento
43707;administrativo
13486;analista
11632;encargado
9714;encargado
26725;administracion
24591;enfermero
147;departamento
2518;enfermero
4744;administracion
36412;quimico farmaceutico
20579;jefe
35273;analista
5391;educador
28114;asistente
7125;director
38806;tecnico
38223;administrativo
25144;tecnico
12053;tecnico
40166;practica
1379;salvavidas
29706;departamento
6737;analista
4583;abogado
34461;psicologo
30489;administrativo
380;analista
24756;psicologo
39431;jefe
41774;cobranza
13641;apoyo
32914;auxiliar
15111;coordinador
13968;enfermero
32331;supervisor
30185;jardin
20897;paramedico
18141;supervisor
41278;tecnico
28418;administrativo
7429;administracion
23614;administracion
44482;cirujano
14703;arquitecto
25448;jefe departamento
31797;auxiliar
1675;profesional
33523;supervisora
19753;auxiliar
42840;departamento
10975;fiscalizador
8853;instructor
27862;gestion
37170;administrativo
7092;departamento
5226;hogar
31909;auxiliar
10350;enfermero
42265;psicologo
5803;aseo
8276;instructor
27247;jardin
38394;administrativo
33198;jefe
812;administrativo
20609;medico
4434;profesional
6680;supervisora
36762;arte
237;director
2668;encargado
43477;administracion publica
11542;enfermero
39586;comunicacion
9464;administrativo
26455;conductor
17212;minero
2941;director
20305;tecnico en
4138;coordinador
17837;asesor
20920;administrativo
30032;fonoaudiologo
2364;administrativo
32286;auxiliar
9168;educador
26159;asesor
29998;jefe
16400;contabilidad
21517;contabilidad
42769;coordinador
38698;enfermera
3576;departamento
34838;tecnico
11289;personal
41108;medico
22953;administrativo
32041;administracion
18231;jefe departamento
39868;paramedico
43999;auxiliar
22376;medicos
15261;kinesiologo
18814;psicologo
1505;instructor
33653;contador auditor
19423;analista
25738;jefe
23564;kinesiologo
14473;secretaria
28768;auditor
7759;profesional
1009;instructor
38153;tecnico
27080;medicos
28841;tecnico en
7870;abogado
37992;coordinador
25234;educador
12323;taller
10197;secretaria
40216;marinero
23068;paramedico
3898;instructor
25811;profesional
35103;administrativo
28264;terapeuta
40833;cirujano
12906;educador
24426;ingeniero
26692;secretario
39741;alimento
11785;tecnica
13531;asesor
29476;profesional
6447;secretaria
34711;tecnico
30269;departamento
560;coordinador
26302;medico
9333;supervisor
4946;jefe
43320;educador
11215;fiscalizadora
41194;encargado
18888;educador
17049;administrativo
4363;administrativo
34281;gestion
36035;tecnico
26927;tecnico
9916;director
43905;paramedico
27510;coordinador
8521;cuidador
40786;administrativo
10407;analista
42532;mecanica
1599;apoyo
37627;jardin
35493;pediatra
5571;administrativo
3221;educador
1095;analista
21865;gestion
16972;psiquiatra
21240;paramedico
3804;jefe departamento
44262;administracion
16357;enfermera
30765;analista
2433;educador
41498;profesional
20452;analista informatico
17545;supervisora
36539;auxiliar
19951;tecnico
16190;auxiliar
14324;instructor
23233;gestion
1877;medico
31995;secretaria
21087;cobranza
35358;entrenador
14901;organizacion
19374;profesional
1252;departamento
33104;tecnico
23816;instructor
12178;personal
38308;practica
15536;periodista
17782;tecnico
20695;ingeniero
22421;secretaria
18566;director
32716;tecnico
13843;coordinador
41976;asesor
6310;educador
29321;secretaria
34046;encargado
24954;analista
20399;primaria
41353;tecnico en
13266;profesional
24371;fonoaudiologo
6935;ingeniero
29904;medico
39016;tecnologo medico
14628;tecnico en
35654;apoyo
7502;nutricionista
28533;fiscalizador
19678;encargado
33408;tecnico en
12474;coordinador
38604;profesional
25563;auxiliar
21130;taller
31822;tecnico en
23384;asistente dental
14293;psicologo
16027;administrativo
27949;comunicacion
8978;paramedico
28188;paramedico
3151;apoyo
31207;auxiliar
5928;profesional
36649;administrativo
22596;encargado
20722;tecnico en
17635;tecnico
939;coordinador
15481;auxiliar
11469;enfermera
30415;tecnico
2743;ingeniero
4013;supervisor
36345;gestion
29296;enfermera
32988;practica
17339;departamento
26072;psicologo
9043;jefe departamento
36960;departamento
6882;asistente
43050;terapeuta
11165;cirujano
30119;medico
610;tecnico juridico
23688;psicologo
28484;administrativo
37557;coordinador
5601;instructor
27660;coordinador
8651;asistente
10777;primaria
22878;departamento
2088;operador
41023;departamento
13116;apoyo
43297;administracion
24001;enfermero
34913;educador
39366;encargado
9284;tecnologo medico
11987;personal
39943;administracion
26890;auxiliar
6060;paramedico
29051;administrativo
34336;electromecanico
12704;mantencion
40631;quimico farmaceutico
8496;auxiliar
38574;departamento
25613;jefe
19508;profesional
33778;administracion
35524;tecnico en
37790;asistente
7672;administrativo
28643;nutricionista
14558;tecnico en
12208;contabilidad
42189;departamento
38078;jefe departamento
1122;tecnico
33274;tecnico
3396;informatico
40918;enfermera
35028;asistente juridico
14054;coordinador
23143;administrativo
33851;profesional
18616;nutricionista
2584;coordinador
32466;administrativo
9788;medico
15646;gestion
22751;departamento
16665;auxiliar
21772;enfermero
37619;odontologia
19481;paramedico
31445;tecnico
3713;administrativo
10439;auxiliar
9928;auxiliar
26919;instructor
17077;gestion
20160;educador
30872;gestion
24188;educador
4978;construccion
2101;administrativo
30257;educador
36507;practica
4651;tecnico
11727;analista
13593;auxiliar
43612;practica
24484;psicologo
9601;tecnico
26630;educador
16369;operador
40891;administracion publica
5043;administrativo
37315;encargado
31149;tecnologo medico
42000;enfermero
12381;arquitecto
8013;educador
27022;conductor
37930;educador
25296;medicos
32728;salvavidas
18558;auxiliar
295;auxiliar
39524;enfermero
24643;instructor
13754;encargado
41661;auxiliar
15508;asistente
34574;practica
4496;nutricionista
25051;odontologia
35943;departamento
38336;administrativo
40073;cirujano
12146;tecnico
23828;educador
38913;administrativo
28001;asistente
7030;auto
5284;encargado
35366;instructor
1849;operador
33436;gestion
1760;encargado
19646;auxiliar
23701;asesor
14616;paramedico
44597;psicologo
20982;apoyo
30090;tecnico
32224;ingeniero
799;coordinador
17895;paramedico
18054;enfermeria
39028;administracion publica
13258;educador
22113;asistente dental
32801;coordinador
15004;administrativo
34078;instructor
41948;encargado
322;recursos humanos
11457;auxiliar
43562;fiscalizador
9571;instructor
26540;conductor
39493;auxiliar
907;analista sistema
36677;medico
6795;recaudador
4521;instructor
42370;tecnico
10245;auxiliar
8363;administrativo
27352;administrativo
5916;paramedico
14888;paramedico
31239;jefe departamento
10860;conductor
42955;auxiliar
5333;abogado
37065;conductor
8946;asistente
27977;educador
16019;tecnico en
10749;tecnico
31735;departamento
3463;trabajadora social 
33581;administrativo
37569;secretaria
16515;paramedico
44420;laboratorio
21402;enfermero
17922;educador
2271;enfermeria
30127;psicologo
20835;medico
17307;encargado
20210;departamento
2854;psicologo
6299;administrativo
23471;terapeuta
14566;fiscalizacion
33746;medico
1410;auditor
19536;gestion
27499;auxiliar
34308;practica
22263;conductor
18901;asistente
15374;mantencion
39358;tecnologo medico
13128;asistente
32154;tecnico en
22846;tecnico en
15951;apoyo
18324;enfermera
29563;administrativo
6552;desarrollador
15678;medico
39654;administracion
26787;director
24533;tecnologo medico
13424;educadora diferencial
41511;auxiliar
32458;fiscalizacion
18628;quimico farmaceutico
28371;coordinador
7340;jefe
35016;operario
25904;animador
12813;practica
40926;tecnologo medico
25321;tecnico
37887;fiscalizacion
28954;asesor
7965;departamento
27195;medica
38046;paramedico
40303;administracion
10082;enfermeria
12236;traumatologo
5464;periodista
35586;odontologia
37732;compras
21659;auxiliar
27405;informaciones
8434;administrativo
42427;gestor
10512;profesional
40693;abastecimiento
3638;administracion
30959;operador
26832;tecnico
9803;psicologo
